instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
15103490,58998,NIFTY25OCT25950CE,NIFTY,0,2025-10-28,25950,0.05,75,CE,NFO-OPT,NFO
15104770,59003,NIFTY25OCT25950PE,NIFTY,0,2025-10-28,25950,0.05,75,PE,NFO-OPT,NFO
15105026,59004,NIFTY25OCT26000CE,NIFTY,0,2025-10-28,26000,0.05,75,CE,NFO-OPT,NFO
15105282,59005,NIFTY25OCT26000PE,NIFTY,0,2025-10-28,26000,0.05,75,PE,NFO-OPT,NFO
15097346,58974,NIFTY25OCT25900CE,NIFTY,0,2025-10-28,25900,0.05,75,CE,NFO-OPT,NFO
15103234,58997,NIFTY25OCT25900PE,NIFTY,0,2025-10-28,25900,0.05,75,PE,NFO-OPT,NFO
15106562,59010,NIFTY25OCT26050CE,NIFTY,0,2025-10-28,26050,0.05,75,CE,NFO-OPT,NFO
15106818,59011,NIFTY25OCT26050PE,NIFTY,0,2025-10-28,26050,0.05,75,PE,NFO-OPT,NFO
15096322,58970,NIFTY25OCT25850CE,NIFTY,0,2025-10-28,25850,0.05,75,CE,NFO-OPT,NFO
15097090,58973,NIFTY25OCT25850PE,NIFTY,0,2025-10-28,25850,0.05,75,PE,NFO-OPT,NFO
15109634,59022,NIFTY25OCT26100CE,NIFTY,0,2025-10-28,26100,0.05,75,CE,NFO-OPT,NFO
15109890,59023,NIFTY25OCT26100PE,NIFTY,0,2025-10-28,26100,0.05,75,PE,NFO-OPT,NFO
15094530,58963,NIFTY25OCT25800CE,NIFTY,0,2025-10-28,25800,0.05,75,CE,NFO-OPT,NFO
15095042,58965,NIFTY25OCT25800PE,NIFTY,0,2025-10-28,25800,0.05,75,PE,NFO-OPT,NFO
15110658,59026,NIFTY25OCT26150CE,NIFTY,0,2025-10-28,26150,0.05,75,CE,NFO-OPT,NFO
15110914,59027,NIFTY25OCT26150PE,NIFTY,0,2025-10-28,26150,0.05,75,PE,NFO-OPT,NFO
15093762,58960,NIFTY25OCT25750CE,NIFTY,0,2025-10-28,25750,0.05,75,CE,NFO-OPT,NFO
15094274,58962,NIFTY25OCT25750PE,NIFTY,0,2025-10-28,25750,0.05,75,PE,NFO-OPT,NFO
15112450,59033,NIFTY25OCT26200CE,NIFTY,0,2025-10-28,26200,0.05,75,CE,NFO-OPT,NFO
15112706,59034,NIFTY25OCT26200PE,NIFTY,0,2025-10-28,26200,0.05,75,PE,NFO-OPT,NFO
15092738,58956,NIFTY25OCT25700CE,NIFTY,0,2025-10-28,25700,0.05,75,CE,NFO-OPT,NFO
15093506,58959,NIFTY25OCT25700PE,NIFTY,0,2025-10-28,25700,0.05,75,PE,NFO-OPT,NFO
15113474,59037,NIFTY25OCT26250CE,NIFTY,0,2025-10-28,26250,0.05,75,CE,NFO-OPT,NFO
15113730,59038,NIFTY25OCT26250PE,NIFTY,0,2025-10-28,26250,0.05,75,PE,NFO-OPT,NFO
15091970,58953,NIFTY25OCT25650CE,NIFTY,0,2025-10-28,25650,0.05,75,CE,NFO-OPT,NFO
15092226,58954,NIFTY25OCT25650PE,NIFTY,0,2025-10-28,25650,0.05,75,PE,NFO-OPT,NFO
15113986,59039,NIFTY25OCT26300CE,NIFTY,0,2025-10-28,26300,0.05,75,CE,NFO-OPT,NFO
15114242,59040,NIFTY25OCT26300PE,NIFTY,0,2025-10-28,26300,0.05,75,PE,NFO-OPT,NFO
15091458,58951,NIFTY25OCT25600CE,NIFTY,0,2025-10-28,25600,0.05,75,CE,NFO-OPT,NFO
15091714,58952,NIFTY25OCT25600PE,NIFTY,0,2025-10-28,25600,0.05,75,PE,NFO-OPT,NFO
15114754,59042,NIFTY25OCT26350PE,NIFTY,0,2025-10-28,26350,0.05,75,PE,NFO-OPT,NFO
15139586,59139,NIFTY25OCT27700CE,NIFTY,0,2025-10-28,27700,0.05,75,CE,NFO-OPT,NFO
15139842,59140,NIFTY25OCT27700PE,NIFTY,0,2025-10-28,27700,0.05,75,PE,NFO-OPT,NFO
15139074,59137,NIFTY25OCT27650CE,NIFTY,0,2025-10-28,27650,0.05,75,CE,NFO-OPT,NFO
15139330,59138,NIFTY25OCT27650PE,NIFTY,0,2025-10-28,27650,0.05,75,PE,NFO-OPT,NFO
15138562,59135,NIFTY25OCT27600CE,NIFTY,0,2025-10-28,27600,0.05,75,CE,NFO-OPT,NFO
15138818,59136,NIFTY25OCT27600PE,NIFTY,0,2025-10-28,27600,0.05,75,PE,NFO-OPT,NFO
15138050,59133,NIFTY25OCT27550CE,NIFTY,0,2025-10-28,27550,0.05,75,CE,NFO-OPT,NFO
15138306,59134,NIFTY25OCT27550PE,NIFTY,0,2025-10-28,27550,0.05,75,PE,NFO-OPT,NFO
15137538,59131,NIFTY25OCT27500CE,NIFTY,0,2025-10-28,27500,0.05,75,CE,NFO-OPT,NFO
15137794,59132,NIFTY25OCT27500PE,NIFTY,0,2025-10-28,27500,0.05,75,PE,NFO-OPT,NFO
15137026,59129,NIFTY25OCT27450CE,NIFTY,0,2025-10-28,27450,0.05,75,CE,NFO-OPT,NFO
15137282,59130,NIFTY25OCT27450PE,NIFTY,0,2025-10-28,27450,0.05,75,PE,NFO-OPT,NFO
15136514,59127,NIFTY25OCT27400CE,NIFTY,0,2025-10-28,27400,0.05,75,CE,NFO-OPT,NFO
15136770,59128,NIFTY25OCT27400PE,NIFTY,0,2025-10-28,27400,0.05,75,PE,NFO-OPT,NFO
15136002,59125,NIFTY25OCT27350CE,NIFTY,0,2025-10-28,27350,0.05,75,CE,NFO-OPT,NFO
15136258,59126,NIFTY25OCT27350PE,NIFTY,0,2025-10-28,27350,0.05,75,PE,NFO-OPT,NFO
